ProvID,Provinsi,Tanggal,Komoditas,Nilai,NilaiDiff,SemuaProvinsi,Kelompok,stdDev,Percentage,SemuaPercentage,stdDevPercentage,TanggalLast,TanggalInflasi,show,tanggal
21,Kalimantan Selatan,01 Mar 24,Beras,18650.0,Rp150,15900.0,1,1200.0,0.81,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
22,Kalimantan Tengah,01 Mar 24,Beras,19500.0,Rp50,15900.0,1,1200.0,0.26,0.0,,29 Feb 24,01 Mar / 29 Feb,True,2024-03-03
1,Aceh,04 Mar 24,Beras,13800.0,-Rp50,15950.0,5,1200.0,-0.36,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
2,Sumatera Utara,04 Mar 24,Beras,13800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
26,Sulawesi Selatan,04 Mar 24,Beras,14100.0,Rp50,15950.0,5,1200.0,0.36,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
5,Kepulauan Riau,04 Mar 24,Beras,14550.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
18,Nusa Tenggara Barat,04 Mar 24,Beras,14700.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
6,Jambi,04 Mar 24,Beras,14800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
10,Lampung,04 Mar 24,Beras,14800.0,Rp0,15950.0,5,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
30,Sulawesi Barat,04 Mar 24,Beras,15250.0,Rp100,15950.0,4,1200.0,0.66,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
16,Jawa Timur,04 Mar 24,Beras,15350.0,-Rp50,15950.0,4,1200.0,-0.32,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
8,Sumatera Selatan,04 Mar 24,Beras,15400.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
15,DI Yogyakarta,04 Mar 24,Beras,15400.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
4,Riau,04 Mar 24,Beras,15450.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
14,Jawa Tengah,04 Mar 24,Beras,15600.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
29,Sulawesi Utara,04 Mar 24,Beras,15650.0,Rp300,15950.0,4,1200.0,1.95,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
31,Maluku,04 Mar 24,Beras,15650.0,Rp50,15950.0,4,1200.0,0.32,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
12,Jawa Barat,04 Mar 24,Beras,15800.0,-Rp50,15950.0,4,1200.0,-0.32,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
7,Bengkulu,04 Mar 24,Beras,15900.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
19,Nusa Tenggara Timur,04 Mar 24,Beras,15900.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
23,Kalimantan Timur,04 Mar 24,Beras,15900.0,-Rp50,15950.0,4,1200.0,-0.31,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
34,Papua Barat,04 Mar 24,Beras,15900.0,Rp0,15950.0,4,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
27,Sulawesi Tenggara,04 Mar 24,Beras,16100.0,Rp0,15950.0,3,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
13,DKI Jakarta,04 Mar 24,Beras,16150.0,Rp0,15950.0,3,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
17,Bali,04 Mar 24,Beras,16300.0,-Rp400,15950.0,3,1200.0,-2.4,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
20,Kalimantan Barat,04 Mar 24,Beras,16350.0,Rp0,15950.0,3,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
9,Kepulauan Bangka Belitung,04 Mar 24,Beras,16500.0,Rp50,15950.0,3,1200.0,0.3,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
28,Sulawesi Tengah,04 Mar 24,Beras,16500.0,Rp850,15950.0,3,1200.0,5.43,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
32,Maluku Utara,04 Mar 24,Beras,16650.0,-Rp50,15950.0,3,1200.0,-0.3,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
11,Banten,04 Mar 24,Beras,16750.0,Rp0,15950.0,3,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
24,Kalimantan Utara,04 Mar 24,Beras,16800.0,Rp50,15950.0,3,1200.0,0.3,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
3,Sumatera Barat,04 Mar 24,Beras,17050.0,Rp0,15950.0,3,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
33,Papua,04 Mar 24,Beras,17350.0,Rp450,15950.0,2,1200.0,2.66,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
25,Gorontalo,04 Mar 24,Beras,17850.0,Rp500,15950.0,2,1200.0,2.88,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
21,Kalimantan Selatan,04 Mar 24,Beras,18650.0,Rp0,15950.0,1,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
22,Kalimantan Tengah,04 Mar 24,Beras,19500.0,Rp0,15950.0,1,1200.0,0.0,0.0,,01 Mar 24,04 Mar / 01 Mar,True,2024-03-04
1,Aceh,05 Mar 24,Beras,13800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
2,Sumatera Utara,05 Mar 24,Beras,13800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
26,Sulawesi Selatan,05 Mar 24,Beras,14100.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
5,Kepulauan Riau,05 Mar 24,Beras,14550.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
6,Jambi,05 Mar 24,Beras,14800.0,Rp0,15950.0,5,1250.0,0.0,0.0,,04 Mar 24,05 Mar / 04 Mar,True,2024-03-05
